"Nome","Número na Pokédex","Tipo Primário","Tipo Secundário","Geração","Total de Pontos Base","Estágio de Evolução","Quantidade de Evoluções"
"bastiodon",411,"rock","steel","generation-iv",495,2,2
"burmy",412,"bug","N/A","generation-iv",224,1,2
"wormadam-plant",413,"bug","grass","generation-iv",424,2,2
"wormadam-sandy",413,"bug","ground","generation-iv",424,2,2
"wormadam-trash",413,"bug","steel","generation-iv",424,2,2
"mothim",414,"bug","flying","generation-iv",424,2,2
"combee",415,"bug","flying","generation-iv",244,1,2
"vespiquen",416,"bug","flying","generation-iv",474,2,2
"pachirisu",417,"electric","N/A","generation-iv",405,1,1
"buizel",418,"water","N/A","generation-iv",330,1,2
"floatzel",419,"water","N/A","generation-iv",495,2,2
"cherubi",420,"grass","N/A","generation-iv",275,1,2
"cherrim",421,"grass","N/A","generation-iv",450,2,2
"shellos",422,"water","N/A","generation-iv",325,1,2
"gastrodon",423,"water","ground","generation-iv",475,2,2
"ambipom",424,"normal","N/A","generation-iv",482,2,2
"drifloon",425,"ghost","flying","generation-iv",348,1,2
"drifblim",426,"ghost","flying","generation-iv",498,2,2
"buneary",427,"normal","N/A","generation-iv",350,1,2
"lopunny",428,"normal","N/A","generation-iv",480,2,2
"lopunny-mega",428,"normal","fighting","generation-iv",580,2,2
"mismagius",429,"ghost","N/A","generation-iv",495,2,2
"honchkrow",430,"dark","flying","generation-iv",505,2,2
"glameow",431,"normal","N/A","generation-iv",310,1,2
"purugly",432,"normal","N/A","generation-iv",452,2,2
"chingling",433,"psychic","N/A","generation-iv",285,1,2
"stunky",434,"poison","dark","generation-iv",329,1,2
"skuntank",435,"poison","dark","generation-iv",479,2,2
"bronzor",436,"steel","psychic","generation-iv",300,1,2
"bronzong",437,"steel","psychic","generation-iv",500,2,2
"bonsly",438,"rock","N/A","generation-iv",290,1,2
"mime-jr",439,"psychic","fairy","generation-iv",310,1,3
"happiny",440,"normal","N/A","generation-iv",220,1,3
"chatot",441,"normal","flying","generation-iv",411,1,1
"spiritomb",442,"ghost","dark","generation-iv",485,1,1
"gible",443,"dragon","ground","generation-iv",300,1,3
"gabite",444,"dragon","ground","generation-iv",410,2,3
"garchomp",445,"dragon","ground","generation-iv",600,3,3
"garchomp-mega",445,"dragon","ground","generation-iv",700,3,3
"munchlax",446,"normal","N/A","generation-iv",390,1,2
"riolu",447,"fighting","N/A","generation-iv",285,1,2
"lucario",448,"fighting","steel","generation-iv",525,2,2
"lucario-mega",448,"fighting","steel","generation-iv",625,2,2
"hippopotas",449,"ground","N/A","generation-iv",330,1,2
"hippowdon",450,"ground","N/A","generation-iv",525,2,2
"skorupi",451,"poison","bug","generation-iv",330,1,2
"drapion",452,"poison","dark","generation-iv",500,2,2
"croagunk",453,"poison","fighting","generation-iv",300,1,2
"toxicroak",454,"poison","fighting","generation-iv",490,2,2
"carnivine",455,"grass","N/A","generation-iv",454,1,1
"finneon",456,"water","N/A","generation-iv",330,1,2
"lumineon",457,"water","N/A","generation-iv",460,2,2
"mantyke",458,"water","flying","generation-iv",345,1,2
"snover",459,"grass","ice","generation-iv",334,1,2
"abomasnow",460,"grass","ice","generation-iv",494,2,2
"abomasnow-mega",460,"grass","ice","generation-iv",594,2,2
"weavile",461,"dark","ice","generation-iv",510,2,2
"magnezone",462,"electric","steel","generation-iv",535,3,3
"lickilicky",463,"normal","N/A","generation-iv",515,2,2
"rhyperior",464,"ground","rock","generation-iv",535,3,3
"tangrowth",465,"grass","N/A","generation-iv",535,2,2
"electivire",466,"electric","N/A","generation-iv",540,3,3
"magmortar",467,"fire","N/A","generation-iv",540,3,3
"togekiss",468,"fairy","flying","generation-iv",545,3,3
"yanmega",469,"bug","flying","generation-iv",515,2,2
"leafeon",470,"grass","N/A","generation-iv",525,2,2
"glaceon",471,"ice","N/A","generation-iv",525,2,2
"gliscor",472,"ground","flying","generation-iv",510,2,2
"mamoswine",473,"ice","ground","generation-iv",530,3,3
"porygon-z",474,"normal","N/A","generation-iv",535,3,3
"gallade",475,"psychic","fighting","generation-iv",518,3,3
"gallade-mega",475,"psychic","fighting","generation-iv",618,3,3
"probopass",476,"rock","steel","generation-iv",525,2,2
"dusknoir",477,"ghost","N/A","generation-iv",525,3,3
"froslass",478,"ice","ghost","generation-iv",480,2,2
"rotom",479,"electric","ghost","generation-iv",440,1,1
"rotom-heat",479,"electric","fire","generation-iv",520,1,1
"rotom-wash",479,"electric","water","generation-iv",520,1,1
"rotom-frost",479,"electric","ice","generation-iv",520,1,1
"rotom-fan",479,"electric","flying","generation-iv",520,1,1
"rotom-mow",479,"electric","grass","generation-iv",520,1,1
"uxie",480,"psychic","N/A","generation-iv",580,1,1
"mesprit",481,"psychic","N/A","generation-iv",580,1,1
"azelf",482,"psychic","N/A","generation-iv",580,1,1
"dialga",483,"steel","dragon","generation-iv",680,1,1
"palkia",484,"water","dragon","generation-iv",680,1,1
"heatran",485,"fire","steel","generation-iv",600,1,1
"regigigas",486,"normal","N/A","generation-iv",670,1,1
"giratina-altered",487,"ghost","dragon","generation-iv",680,1,1
"cresselia",488,"psychic","N/A","generation-iv",580,1,1
"phione",489,"water","N/A","generation-iv",480,1,2
"manaphy",490,"water","N/A","generation-iv",600,2,2
"darkrai",491,"dark","N/A","generation-iv",600,1,1
"shaymin-land",492,"grass","N/A","generation-iv",600,1,1
"shaymin-sky",492,"grass","flying","generation-iv",600,1,1
"arceus",493,"normal","N/A","generation-iv",720,1,1
"victini",494,"psychic","fire","generation-v",600,1,1
"snivy",495,"grass","N/A","generation-v",308,1,3
"servine",496,"grass","N/A","generation-v",413,2,3
"serperior",497,"grass","N/A","generation-v",528,3,3
"tepig",498,"fire","N/A","generation-v",308,1,3
"pignite",499,"fire","fighting","generation-v",418,2,3
"emboar",500,"fire","fighting","generation-v",528,3,3
"oshawott",501,"water","N/A","generation-v",308,1,3
"dewott",502,"water","N/A","generation-v",413,2,3
"samurott",503,"water","N/A","generation-v",528,3,3
"samurott-hisui",503,"water","dark","generation-v",528,3,3
"patrat",504,"normal","N/A","generation-v",255,1,2
"watchog",505,"normal","N/A","generation-v",420,2,2
"lillipup",506,"normal","N/A","generation-v",275,1,3
"herdier",507,"normal","N/A","generation-v",370,2,3
"stoutland",508,"normal","N/A","generation-v",500,3,3
"purrloin",509,"dark","N/A","generation-v",281,1,2
"liepard",510,"dark","N/A","generation-v",446,2,2
"pansage",511,"grass","N/A","generation-v",316,1,2
"simisage",512,"grass","N/A","generation-v",498,2,2
"pansear",513,"fire","N/A","generation-v",316,1,2
"simisear",514,"fire","N/A","generation-v",498,2,2
"panpour",515,"water","N/A","generation-v",316,1,2
"simipour",516,"water","N/A","generation-v",498,2,2
"munna",517,"psychic","N/A","generation-v",292,1,2
"musharna",518,"psychic","N/A","generation-v",487,2,2
"pidove",519,"normal","flying","generation-v",264,1,3
"tranquill",520,"normal","flying","generation-v",358,2,3
"unfezant",521,"normal","flying","generation-v",488,3,3
"blitzle",522,"electric","N/A","generation-v",295,1,2
"zebstrika",523,"electric","N/A","generation-v",497,2,2
"roggenrola",524,"rock","N/A","generation-v",280,1,3
"boldore",525,"rock","N/A","generation-v",390,2,3
"gigalith",526,"rock","N/A","generation-v",515,3,3
"woobat",527,"psychic","flying","generation-v",323,1,2
"swoobat",528,"psychic","flying","generation-v",425,2,2
"drilbur",529,"ground","N/A","generation-v",328,1,2
"excadrill",530,"ground","steel","generation-v",508,2,2
"audino",531,"normal","N/A","generation-v",445,1,1
"audino-mega",531,"normal","fairy","generation-v",545,1,1
"timburr",532,"fighting","N/A","generation-v",305,1,3
"gurdurr",533,"fighting","N/A","generation-v",405,2,3
"conkeldurr",534,"fighting","N/A","generation-v",505,3,3
"tympole",535,"water","N/A","generation-v",294,1,3
"palpitoad",536,"water","ground","generation-v",384,2,3
"seismitoad",537,"water","ground","generation-v",509,3,3
"throh",538,"fighting","N/A","generation-v",465,1,1
"sawk",539,"fighting","N/A","generation-v",465,1,1
"sewaddle",540,"bug","grass","generation-v",310,1,3
"swadloon",541,"bug","grass","generation-v",380,2,3
"leavanny",542,"bug","grass","generation-v",500,3,3
"venipede",543,"bug","poison","generation-v",260,1,3
"whirlipede",544,"bug","poison","generation-v",360,2,3
"scolipede",545,"bug","poison","generation-v",485,3,3
"cottonee",546,"grass","fairy","generation-v",280,1,2
"whimsicott",547,"grass","fairy","generation-v",480,2,2
"petilil",548,"grass","N/A","generation-v",280,1,2
"lilligant",549,"grass","N/A","generation-v",480,2,2
"lilligant-hisui",549,"grass","fighting","generation-v",480,2,2
"basculin-red-striped",550,"water","N/A","generation-v",460,1,2
"sandile",551,"ground","dark","generation-v",292,1,3
"krokorok",552,"ground","dark","generation-v",351,2,3
"krookodile",553,"ground","dark","generation-v",519,3,3
"darumaka",554,"fire","N/A","generation-v",315,1,2
"darumaka-galar",554,"ice","N/A","generation-v",315,1,2
"darmanitan-standard",555,"fire","N/A","generation-v",480,2,2
"darmanitan-zen",555,"fire","psychic","generation-v",540,2,2
"darmanitan-galar-standard",555,"ice","N/A","generation-v",480,2,2
"darmanitan-galar-zen",555,"ice","fire","generation-v",540,2,2
"maractus",556,"grass","N/A","generation-v",461,1,1
"dwebble",557,"bug","rock","generation-v",325,1,2
"crustle",558,"bug","rock","generation-v",485,2,2
"scraggy",559,"dark","fighting","generation-v",348,1,2
"scrafty",560,"dark","fighting","generation-v",488,2,2
"sigilyph",561,"psychic","flying","generation-v",490,1,1
"yamask",562,"ghost","N/A","generation-v",303,1,2
"yamask-galar",562,"ground","ghost","generation-v",303,1,2
"cofagrigus",563,"ghost","N/A","generation-v",483,2,2
"tirtouga",564,"water","rock","generation-v",355,1,2
"carracosta",565,"water","rock","generation-v",495,2,2
"archen",566,"rock","flying","generation-v",401,1,2
"archeops",567,"rock","flying","generation-v",567,2,2
"trubbish",568,"poison","N/A","generation-v",329,1,2
"garbodor",569,"poison","N/A","generation-v",474,2,2
"zorua",570,"dark","N/A","generation-v",330,1,2
"zorua-hisui",570,"normal","ghost","generation-v",330,1,2
"zoroark",571,"dark","N/A","generation-v",510,2,2
"zoroark-hisui",571,"normal","ghost","generation-v",510,2,2
"minccino",572,"normal","N/A","generation-v",300,1,2
"cinccino",573,"normal","N/A","generation-v",470,2,2
"gothita",574,"psychic","N/A","generation-v",290,1,3
"gothorita",575,"psychic","N/A","generation-v",390,2,3
"gothitelle",576,"psychic","N/A","generation-v",490,3,3
"solosis",577,"psychic","N/A","generation-v",290,1,3
"duosion",578,"psychic","N/A","generation-v",370,2,3
"reuniclus",579,"psychic","N/A","generation-v",490,3,3
"ducklett",580,"water","flying","generation-v",305,1,2
"swanna",581,"water","flying","generation-v",473,2,2
"vanillite",582,"ice","N/A","generation-v",305,1,3
"vanillish",583,"ice","N/A","generation-v",395,2,3
"vanilluxe",584,"ice","N/A","generation-v",535,3,3
"deerling",585,"normal","grass","generation-v",335,1,2
"sawsbuck",586,"normal","grass","generation-v",475,2,2
"emolga",587,"electric","flying","generation-v",428,1,1
"karrablast",588,"bug","N/A","generation-v",315,1,2
"escavalier",589,"bug","steel","generation-v",495,2,2
"foongus",590,"grass","poison","generation-v",294,1,2
"amoonguss",591,"grass","poison","generation-v",464,2,2
"frillish",592,"water","ghost","generation-v",335,1,2
"jellicent",593,"water","ghost","generation-v",480,2,2
"alomomola",594,"water","N/A","generation-v",470,1,1
"joltik",595,"bug","electric","generation-v",319,1,2
"galvantula",596,"bug","electric","generation-v",472,2,2
"ferroseed",597,"grass","steel","generation-v",305,1,2
"ferrothorn",598,"grass","steel","generation-v",489,2,2
"klink",599,"steel","N/A","generation-v",300,1,3
"klang",600,"steel","N/A","generation-v",440,2,3
"klinklang",601,"steel","N/A","generation-v",520,3,3
"tynamo",602,"electric","N/A","generation-v",275,1,3
"eelektrik",603,"electric","N/A","generation-v",405,2,3
"eelektross",604,"electric","N/A","generation-v",515,3,3
"elgyem",605,"psychic","N/A","generation-v",335,1,2
"beheeyem",606,"psychic","N/A","generation-v",485,2,2
"litwick",607,"ghost","fire","generation-v",275,1,3
"lampent",608,"ghost","fire","generation-v",370,2,3
"chandelure",609,"ghost","fire","generation-v",520,3,3
"axew",610,"dragon","N/A","generation-v",320,1,3
"fraxure",611,"dragon","N/A","generation-v",410,2,3
"haxorus",612,"dragon","N/A","generation-v",540,3,3
"cubchoo",613,"ice","N/A","generation-v",305,1,2
"beartic",614,"ice","N/A","generation-v",505,2,2
"cryogonal",615,"ice","N/A","generation-v",515,1,1
"shelmet",616,"bug","N/A","generation-v",305,1,2
"accelgor",617,"bug","N/A","generation-v",495,2,2
"stunfisk",618,"ground","electric","generation-v",471,1,1
"stunfisk-galar",618,"ground","steel","generation-v",471,1,1
"mienfoo",619,"fighting","N/A","generation-v",350,1,2
"mienshao",620,"fighting","N/A","generation-v",510,2,2
"druddigon",621,"dragon","N/A","generation-v",485,1,1
"golett",622,"ground","ghost","generation-v",303,1,2
"golurk",623,"ground","ghost","generation-v",483,2,2
"pawniard",624,"dark","steel","generation-v",340,1,3
"bisharp",625,"dark","steel","generation-v",490,2,3
"bouffalant",626,"normal","N/A","generation-v",490,1,1
"rufflet",627,"normal","flying","generation-v",350,1,2
"braviary",628,"normal","flying","generation-v",510,2,2
"braviary-hisui",628,"psychic","flying","generation-v",510,2,2
"vullaby",629,"dark","flying","generation-v",370,1,2
"mandibuzz",630,"dark","flying","generation-v",510,2,2
"heatmor",631,"fire","N/A","generation-v",484,1,1
"durant",632,"bug","steel","generation-v",484,1,1
"deino",633,"dark","dragon","generation-v",300,1,3
"zweilous",634,"dark","dragon","generation-v",420,2,3
"hydreigon",635,"dark","dragon","generation-v",600,3,3
"larvesta",636,"bug","fire","generation-v",360,1,2
"volcarona",637,"bug","fire","generation-v",550,2,2
"cobalion",638,"steel","fighting","generation-v",580,1,1
"terrakion",639,"rock","fighting","generation-v",580,1,1
"virizion",640,"grass","fighting","generation-v",580,1,1
"tornadus-incarnate",641,"flying","N/A","generation-v",580,1,1
"thundurus-incarnate",642,"electric","flying","generation-v",580,1,1
"reshiram",643,"dragon","fire","generation-v",680,1,1
"zekrom",644,"dragon","electric","generation-v",680,1,1
"landorus-incarnate",645,"ground","flying","generation-v",600,1,1
"kyurem",646,"dragon","ice","generation-v",660,1,1
"kyurem-black",646,"dragon","ice","generation-v",700,1,1
"kyurem-white",646,"dragon","ice","generation-v",700,1,1
"keldeo-ordinary",647,"water","fighting","generation-v",580,1,1
"meloetta-aria",648,"normal","psychic","generation-v",600,1,1
"meloetta-pirouette",648,"normal","fighting","generation-v",600,1,1
"genesect",649,"bug","steel","generation-v",600,1,1
"chespin",650,"grass","N/A","generation-vi",313,1,3
"quilladin",651,"grass","N/A","generation-vi",405,2,3
"chesnaught",652,"grass","fighting","generation-vi",530,3,3
"fennekin",653,"fire","N/A","generation-vi",307,1,3
"braixen",654,"fire","N/A","generation-vi",409,2,3
"delphox",655,"fire","psychic","generation-vi",534,3,3
"froakie",656,"water","N/A","generation-vi",314,1,3
"frogadier",657,"water","N/A","generation-vi",405,2,3
"greninja",658,"water","dark","generation-vi",530,3,3
"greninja-ash",658,"water","dark","generation-vi",640,3,3
"bunnelby",659,"normal","N/A","generation-vi",237,1,2
"diggersby",660,"normal","ground","generation-vi",423,2,2
"fletchling",661,"normal","flying","generation-vi",278,1,3
"fletchinder",662,"fire","flying","generation-vi",382,2,3
"talonflame",663,"fire","flying","generation-vi",499,3,3
"scatterbug",664,"bug","N/A","generation-vi",200,1,3
"spewpa",665,"bug","N/A","generation-vi",213,2,3
"vivillon",666,"bug","flying","generation-vi",411,3,3
"litleo",667,"fire","normal","generation-vi",369,1,2
"pyroar",668,"fire","normal","generation-vi",507,2,2
"flabebe",669,"fairy","N/A","generation-vi",303,1,3
"floette",670,"fairy","N/A","generation-vi",371,2,3
"floette-eternal",670,"fairy","N/A","generation-vi",551,2,3
"florges",671,"fairy","N/A","generation-vi",552,3,3
"skiddo",672,"grass","N/A","generation-vi",350,1,2
"gogoat",673,"grass","N/A","generation-vi",531,2,2
"pancham",674,"fighting","N/A","generation-vi",348,1,2
"pangoro",675,"fighting","dark","generation-vi",495,2,2
"furfrou",676,"normal","N/A","generation-vi",472,1,1
"espurr",677,"psychic","N/A","generation-vi",355,1,2
"meowstic-male",678,"psychic","N/A","generation-vi",466,2,2
"honedge",679,"steel","ghost","generation-vi",325,1,3
"doublade",680,"steel","ghost","generation-vi",448,2,3
"aegislash-shield",681,"steel","ghost","generation-vi",500,3,3
"spritzee",682,"fairy","N/A","generation-vi",341,1,2
"aromatisse",683,"fairy","N/A","generation-vi",462,2,2
"swirlix",684,"fairy","N/A","generation-vi",341,1,2
"slurpuff",685,"fairy","N/A","generation-vi",480,2,2
"inkay",686,"dark","psychic","generation-vi",288,1,2
"malamar",687,"dark","psychic","generation-vi",482,2,2
"binacle",688,"rock","water","generation-vi",306,1,2
"barbaracle",689,"rock","water","generation-vi",500,2,2
"skrelp",690,"poison","water","generation-vi",320,1,2
"dragalge",691,"poison","dragon","generation-vi",494,2,2
"clauncher",692,"water","N/A","generation-vi",330,1,2
"clawitzer",693,"water","N/A","generation-vi",500,2,2
"helioptile",694,"electric","normal","generation-vi",289,1,2
"heliolisk",695,"electric","normal","generation-vi",481,2,2
"tyrunt",696,"rock","dragon","generation-vi",362,1,2
"tyrantrum",697,"rock","dragon","generation-vi",521,2,2
"amaura",698,"rock","ice","generation-vi",362,1,2
"aurorus",699,"rock","ice","generation-vi",521,2,2
"sylveon",700,"fairy","N/A","generation-vi",525,2,2
"hawlucha",701,"fighting","flying","generation-vi",500,1,1
"dedenne",702,"electric","fairy","generation-vi",431,1,1
"carbink",703,"rock","fairy","generation-vi",500,1,1
"goomy",704,"dragon","N/A","generation-vi",300,1,3
"sliggoo",705,"dragon","N/A","generation-vi",452,2,3
"sliggoo-hisui",705,"steel","dragon","generation-vi",452,2,3
"goodra",706,"dragon","N/A","generation-vi",600,3,3
"goodra-hisui",706,"steel","dragon","generation-vi",600,3,3
"klefki",707,"steel","fairy","generation-vi",470,1,1
"phantump",708,"ghost","grass","generation-vi",309,1,2
"trevenant",709,"ghost","grass","generation-vi",474,2,2
"pumpkaboo-average",710,"ghost","grass","generation-vi",335,1,2
"gourgeist-average",711,"ghost","grass","generation-vi",494,2,2
"bergmite",712,"ice","N/A","generation-vi",304,1,2
"avalugg",713,"ice","N/A","generation-vi",514,2,2
"avalugg-hisui",713,"ice","rock","generation-vi",514,2,2
"noibat",714,"flying","dragon","generation-vi",245,1,2
"noivern",715,"flying","dragon","generation-vi",535,2,2
"xerneas",716,"fairy","N/A","generation-vi",680,1,1
"yveltal",717,"dark","flying","generation-vi",680,1,1
"zygarde-50",718,"dragon","ground","generation-vi",600,1,1
"zygarde-10-power-construct",718,"dragon","ground","generation-vi",486,1,1
"zygarde-complete",718,"dragon","ground","generation-vi",708,1,1
"zygarde-10",718,"dragon","ground","generation-vi",486,1,1
"diancie",719,"rock","fairy","generation-vi",600,1,1
"diancie-mega",719,"rock","fairy","generation-vi",700,1,1
"hoopa",720,"psychic","ghost","generation-vi",600,1,1
"hoopa-unbound",720,"psychic","dark","generation-vi",680,1,1
"volcanion",721,"fire","water","generation-vi",600,1,1
"rowlet",722,"grass","flying","generation-vii",320,1,3
"dartrix",723,"grass","flying","generation-vii",420,2,3
"decidueye",724,"grass","ghost","generation-vii",530,3,3
"decidueye-hisui",724,"grass","fighting","generation-vii",530,3,3
"litten",725,"fire","N/A","generation-vii",320,1,3
"torracat",726,"fire","N/A","generation-vii",420,2,3
"incineroar",727,"fire","dark","generation-vii",530,3,3
"popplio",728,"water","N/A","generation-vii",320,1,3
"brionne",729,"water","N/A","generation-vii",420,2,3
"primarina",730,"water","fairy","generation-vii",530,3,3
"pikipek",731,"normal","flying","generation-vii",265,1,3
"trumbeak",732,"normal","flying","generation-vii",355,2,3
"toucannon",733,"normal","flying","generation-vii",485,3,3
"yungoos",734,"normal","N/A","generation-vii",253,1,2
"gumshoos",735,"normal","N/A","generation-vii",418,2,2
"grubbin",736,"bug","N/A","generation-vii",300,1,3
"charjabug",737,"bug","electric","generation-vii",400,2,3
"vikavolt",738,"bug","electric","generation-vii",500,3,3
"crabrawler",739,"fighting","N/A","generation-vii",338,1,2
"crabominable",740,"fighting","ice","generation-vii",478,2,2
"oricorio-baile",741,"fire","flying","generation-vii",476,1,1
"oricorio-pom-pom",741,"electric","flying","generation-vii",476,1,1
"oricorio-pau",741,"psychic","flying","generation-vii",476,1,1
"oricorio-sensu",741,"ghost","flying","generation-vii",476,1,1
"cutiefly",742,"bug","fairy","generation-vii",304,1,2
"ribombee",743,"bug","fairy","generation-vii",464,2,2
"rockruff",744,"rock","N/A","generation-vii",280,1,2
"lycanroc-midday",745,"rock","N/A","generation-vii",487,2,2
"wishiwashi-solo",746,"water","N/A","generation-vii",175,1,1
"wishiwashi-school",746,"water","N/A","generation-vii",620,1,1
"mareanie",747,"poison","water","generation-vii",305,1,2
"toxapex",748,"poison","water","generation-vii",495,2,2
"mudbray",749,"ground","N/A","generation-vii",385,1,2
"mudsdale",750,"ground","N/A","generation-vii",500,2,2
"dewpider",751,"water","bug","generation-vii",269,1,2
"araquanid",752,"water","bug","generation-vii",454,2,2
"fomantis",753,"grass","N/A","generation-vii",250,1,2
"lurantis",754,"grass","N/A","generation-vii",480,2,2
"morelull",755,"grass","fairy","generation-vii",285,1,2
"shiinotic",756,"grass","fairy","generation-vii",405,2,2
"salandit",757,"poison","fire","generation-vii",320,1,2
"salazzle",758,"poison","fire","generation-vii",480,2,2
"stufful",759,"normal","fighting","generation-vii",340,1,2
"bewear",760,"normal","fighting","generation-vii",500,2,2
"bounsweet",761,"grass","N/A","generation-vii",210,1,3
"steenee",762,"grass","N/A","generation-vii",290,2,3
"tsareena",763,"grass","N/A","generation-vii",510,3,3
"comfey",764,"fairy","N/A","generation-vii",485,1,1
"oranguru",765,"normal","psychic","generation-vii",490,1,1
"passimian",766,"fighting","N/A","generation-vii",490,1,1
"wimpod",767,"bug","water","generation-vii",230,1,2
"golisopod",768,"bug","water","generation-vii",530,2,2
"sandygast",769,"ghost","ground","generation-vii",320,1,2
"palossand",770,"ghost","ground","generation-vii",480,2,2
"pyukumuku",771,"water","N/A","generation-vii",410,1,1
"type-null",772,"normal","N/A","generation-vii",534,1,2
"silvally",773,"normal","N/A","generation-vii",570,2,2
"minior-red-meteor",774,"rock","flying","generation-vii",440,1,1
"minior-red",774,"rock","flying","generation-vii",500,1,1
"minior-orange",774,"rock","flying","generation-vii",500,1,1
"minior-yellow",774,"rock","flying","generation-vii",500,1,1
"minior-green",774,"rock","flying","generation-vii",500,1,1
"minior-blue",774,"rock","flying","generation-vii",500,1,1
"minior-indigo",774,"rock","flying","generation-vii",500,1,1
"minior-violet",774,"rock","flying","generation-vii",500,1,1
"komala",775,"normal","N/A","generation-vii",480,1,1
"turtonator",776,"fire","dragon","generation-vii",485,1,1
"togedemaru",777,"electric","steel","generation-vii",435,1,1
"mimikyu-disguised",778,"ghost","fairy","generation-vii",476,1,1
"bruxish",779,"water","psychic","generation-vii",475,1,1
"drampa",780,"normal","dragon","generation-vii",485,1,1
"dhelmise",781,"ghost","grass","generation-vii",517,1,1
"jangmo-o",782,"dragon","N/A","generation-vii",300,1,3
"hakamo-o",783,"dragon","fighting","generation-vii",420,2,3
"kommo-o",784,"dragon","fighting","generation-vii",600,3,3
"tapu-koko",785,"electric","fairy","generation-vii",570,1,1
"tapu-lele",786,"psychic","fairy","generation-vii",570,1,1
"tapu-bulu",787,"grass","fairy","generation-vii",570,1,1
"tapu-fini",788,"water","fairy","generation-vii",570,1,1
"cosmog",789,"psychic","N/A","generation-vii",200,1,3
"cosmoem",790,"psychic","N/A","generation-vii",400,2,3
"solgaleo",791,"psychic","steel","generation-vii",680,3,3
"lunala",792,"psychic","ghost","generation-vii",680,3,3
"nihilego",793,"rock","poison","generation-vii",570,1,1
"buzzwole",794,"bug","fighting","generation-vii",570,1,1
"pheromosa",795,"bug","fighting","generation-vii",570,1,1
"xurkitree",796,"electric","N/A","generation-vii",570,1,1
"celesteela",797,"steel","flying","generation-vii",570,1,1
"kartana",798,"grass","steel","generation-vii",570,1,1
"guzzlord",799,"dark","dragon","generation-vii",570,1,1
"necrozma",800,"psychic","N/A","generation-vii",600,1,1
"necrozma-dusk",800,"psychic","steel","generation-vii",680,1,1
"necrozma-dawn",800,"psychic","ghost","generation-vii",680,1,1
"necrozma-ultra",800,"psychic","dragon","generation-vii",754,1,1
"magearna",801,"steel","fairy","generation-vii",600,1,1
"marshadow",802,"fighting","ghost","generation-vii",600,1,1
"poipole",803,"poison","N/A","generation-vii",420,1,2
"naganadel",804,"poison","dragon","generation-vii",540,2,2
"stakataka",805,"rock","steel","generation-vii",570,1,1
"blacephalon",806,"fire","ghost","generation-vii",570,1,1
"zeraora",807,"electric","N/A","generation-vii",600,1,1
"meltan",808,"steel","N/A","generation-vii",300,1,1
"melmetal",809,"steel","N/A","generation-vii",600,1,1
"grookey",810,"grass","N/A","generation-viii",310,1,3
"thwackey",811,"grass","N/A","generation-viii",420,2,3
"rillaboom",812,"grass","N/A","generation-viii",530,3,3
"scorbunny",813,"fire","N/A","generation-viii",310,1,3
"raboot",814,"fire","N/A","generation-viii",420,2,3
"cinderace",815,"fire","N/A","generation-viii",530,3,3
"sobble",816,"water","N/A","generation-viii",310,1,3
"drizzile",817,"water","N/A","generation-viii",420,2,3
"inteleon",818,"water","N/A","generation-viii",530,3,3
"skwovet",819,"normal","N/A","generation-viii",275,1,2
"greedent",820,"normal","N/A","generation-viii",460,2,2
"rookidee",821,"flying","N/A","generation-viii",245,1,3
"corvisquire",822,"flying","N/A","generation-viii",365,2,3
"corviknight",823,"flying","steel","generation-viii",495,3,3
"blipbug",824,"bug","N/A","generation-viii",180,1,3
"dottler",825,"bug","psychic","generation-viii",335,2,3
"orbeetle",826,"bug","psychic","generation-viii",505,3,3
"nickit",827,"dark","N/A","generation-viii",245,1,2
"thievul",828,"dark","N/A","generation-viii",455,2,2
"gossifleur",829,"grass","N/A","generation-viii",250,1,2
"eldegoss",830,"grass","N/A","generation-viii",460,2,2
"wooloo",831,"normal","N/A","generation-viii",270,1,2
"dubwool",832,"normal","N/A","generation-viii",490,2,2
"chewtle",833,"water","N/A","generation-viii",284,1,2
"drednaw",834,"water","rock","generation-viii",485,2,2
"yamper",835,"electric","N/A","generation-viii",270,1,2
"boltund",836,"electric","N/A","generation-viii",490,2,2
"rolycoly",837,"rock","N/A","generation-viii",240,1,3
"carkol",838,"rock","fire","generation-viii",410,2,3
"coalossal",839,"rock","fire","generation-viii",510,3,3
"applin",840,"grass","dragon","generation-viii",260,1,3
"flapple",841,"grass","dragon","generation-viii",485,2,3
"appletun",842,"grass","dragon","generation-viii",485,2,3
"silicobra",843,"ground","N/A","generation-viii",315,1,2
"sandaconda",844,"ground","N/A","generation-viii",510,2,2
"cramorant",845,"flying","water","generation-viii",475,1,1
"arrokuda",846,"water","N/A","generation-viii",280,1,2
"barraskewda",847,"water","N/A","generation-viii",490,2,2
"toxel",848,"electric","poison","generation-viii",242,1,2
"toxtricity-amped",849,"electric","poison","generation-viii",502,2,2
"sizzlipede",850,"fire","bug","generation-viii",305,1,2
"centiskorch",851,"fire","bug","generation-viii",525,2,2
"clobbopus",852,"fighting","N/A","generation-viii",310,1,2
"grapploct",853,"fighting","N/A","generation-viii",480,2,2
"sinistea",854,"ghost","N/A","generation-viii",308,1,2
"polteageist",855,"ghost","N/A","generation-viii",508,2,2
"hatenna",856,"psychic","N/A","generation-viii",265,1,3
"hattrem",857,"psychic","N/A","generation-viii",370,2,3
"hatterene",858,"psychic","fairy","generation-viii",510,3,3
